Invoice ID,Branch,CustomerID,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Date,Time,Payment,cogs,gross margin percentage,gross income,Rating,Longitude,Latitude,Year,Month,Day,Day_Name
529-56-3974,B,C1264,Mandalay,Normal,Male,Health and beauty,25.51,6,15.468250000000001,153.06,2019-08-26,17:03,Cash,102.04,4.761904762,51.02,7.455,96.0891,21.9588,2019,8,26,Monday
365-64-0515,A,C1710,Yangon,Normal,Female,Electronic accessories,46.95,5,15.468250000000001,234.75,2019-08-25,10:25,Ewallet,234.75,4.761904762,0.0,7.455,96.1735,16.8409,2019,8,25,Sunday
252-56-2699,A,C1726,Yangon,Normal,Male,Food and beverages,43.19,10,15.468250000000001,431.9,2019-10-02,16:48,Ewallet,431.9,4.761904762,0.0,8.2,96.1735,16.8409,2019,10,2,Wednesday
829-34-3910,A,C1702,Yangon,Normal,Female,Health and beauty,71.38,10,15.468250000000001,713.8,2019-11-23,19:21,Cash,713.8,4.761904762,0.0,5.7,96.1735,16.8409,2019,11,23,Saturday
299-46-1805,B,C1280,Mandalay,Member,Female,Sports and travel,93.72,11,15.468250000000001,1030.92,2019-07-15,16:19,Cash,562.32,4.761904762,468.6,5.4,96.0891,21.9588,2019,7,15,Monday
656-95-9349,A,C1799,Yangon,Member,Female,Health and beauty,68.93,10,15.468250000000001,689.3,2019-12-02,11:03,Credit card,482.51,4.761904762,206.79,4.6,96.1735,16.8409,2019,12,2,Monday
765-26-6951,A,C1669,Yangon,Normal,Male,Sports and travel,72.61,6,15.468250000000001,435.66,2019-03-09,10:39,Credit card,435.66,4.761904762,0.0,6.9,96.1735,16.8409,2019,3,9,Saturday
329-62-1586,A,C1645,Yangon,Normal,Male,Food and beverages,54.67,3,15.468250000000001,164.01,2019-07-09,18:00,Credit card,164.01,4.761904762,0.0,8.6,96.1735,16.8409,2019,7,9,Tuesday
319-50-3348,B,C1207,Mandalay,Normal,Female,Home and lifestyle,40.3,3,15.468250000000001,120.9,2019-05-08,15:30,Ewallet,80.6,4.761904762,40.3,5.28,96.0891,21.9588,2019,5,8,Wednesday
300-71-4605,C,C1462,Naypyitaw,Member,Male,Electronic accessories,86.04,8,15.468250000000001,688.32,2019-10-18,11:24,Ewallet,430.2,4.761904762,258.12,5.04,96.0785,19.7633,2019,10,18,Friday
371-85-5789,B,C1217,Mandalay,Normal,Male,Health and beauty,87.98,4,15.468250000000001,351.92,2019-12-25,10:40,Ewallet,263.94,4.761904762,87.98,6.12,96.0891,21.9588,2019,12,25,Wednesday
273-16-6619,B,C1243,Mandalay,Normal,Male,Health and beauty,33.2,3,15.468250000000001,99.6,2019-05-01,12:20,Credit card,66.4,4.761904762,33.2,5.28,96.0891,21.9588,2019,5,1,Wednesday
636-48-8204,A,C1773,Yangon,Normal,Male,Health and beauty,34.56,5,15.468250000000001,172.8,2019-02-16,11:15,Ewallet,172.8,4.761904762,0.0,9.9,96.1735,16.8409,2019,2,16,Saturday
549-59-1358,A,C1863,Yangon,Member,Male,Health and beauty,88.63,4,17.726,354.52,2019-03-11,17:36,Ewallet,265.89,4.761904762,88.63,6.0,96.1735,16.8409,2019,3,11,Monday
227-03-5010,A,C1657,Yangon,Member,Female,Health and beauty,52.59,11,28.9245,578.49,2019-11-08,19:20,Credit card,420.72,4.761904762,157.77,8.5,96.1735,16.8409,2019,11,8,Friday
649-29-6775,B,C1240,Mandalay,Normal,Male,Health and beauty,33.52,1,1.676,33.52,2019-01-19,15:31,Cash,33.52,4.761904762,0.0,8.04,96.0891,21.9588,2019,1,19,Saturday
189-17-4241,A,C1629,Yangon,Normal,Female,Health and beauty,87.67,2,8.767,175.34,2019-09-04,12:17,Credit card,175.34,4.761904762,0.0,7.7,96.1735,16.8409,2019,9,4,Wednesday
145-94-9061,B,C1250,Mandalay,Normal,Female,Health and beauty,88.36,7,30.926,618.52,2019-03-06,19:48,Cash,441.8,4.761904762,176.72,10.0,96.0891,21.9588,2019,3,6,Wednesday
848-62-7243,A,C1764,Yangon,Normal,Female,Health and beauty,24.89,9,11.2005,224.01,2019-06-04,15:36,Cash,224.01,4.761904762,0.0,7.4,96.1735,16.8409,2019,6,4,Tuesday
871-79-8483,B,C1270,Mandalay,Normal,Female,Fashion accessories,94.13,7,32.9455,658.91,2019-08-17,19:39,Credit card,470.65,4.761904762,188.26,5.76,96.0891,21.9588,2019,8,17,Saturday
640-49-2076,B,C1212,Mandalay,Normal,Female,Sports and travel,83.78,11,46.079,921.58,2019-06-15,14:49,Cash,670.24,4.761904762,251.34,6.12,96.0891,21.9588,2019,6,15,Saturday
595-11-5460,A,C1773,Yangon,Normal,Female,Health and beauty,96.58,2,9.658,193.16,2019-09-28,10:12,Credit card,193.16,4.761904762,0.0,5.1,96.1735,16.8409,2019,9,28,Saturday
183-56-6882,C,C1396,Naypyitaw,Normal,Female,Food and beverages,99.42,5,15.468250000000001,497.1,2019-05-09,10:42,Ewallet,397.68,4.761904762,99.42,7.875,96.0785,19.7633,2019,5,9,Thursday
232-16-2483,C,C1448,Naypyitaw,Normal,Female,Sports and travel,68.12,1,15.468250000000001,68.12,2019-07-12,12:28,Ewallet,68.12,4.761904762,0.0,7.14,96.0785,19.7633,2019,7,12,Friday
129-29-8530,A,C1882,Yangon,Normal,Female,Sports and travel,62.62,5,15.468250000000001,313.1,2019-05-08,19:15,Ewallet,313.1,4.761904762,0.0,7.0,96.1735,16.8409,2019,5,8,Wednesday
272-65-1806,A,C1770,Yangon,Normal,Female,Electronic accessories,60.88,9,15.468250000000001,547.92,2019-09-17,17:17,Ewallet,547.92,4.761904762,0.0,4.7,96.1735,16.8409,2019,9,17,Tuesday
333-73-7901,C,C1329,Naypyitaw,Normal,Female,Health and beauty,54.92,10,27.46,549.2,2019-10-27,13:24,Ewallet,439.36,4.761904762,109.84,7.98,96.0785,19.7633,2019,10,27,Sunday
777-82-7220,B,C1218,Mandalay,Normal,Female,Home and lifestyle,30.12,11,16.566,331.32,2019-10-14,13:01,Cash,240.96,4.761904762,90.36,9.24,96.0891,21.9588,2019,10,14,Monday
280-35-5823,B,C1201,Mandalay,Normal,Female,Home and lifestyle,86.72,1,4.336,86.72,2019-02-08,18:45,Ewallet,86.72,4.761904762,0.0,9.48,96.0891,21.9588,2019,2,8,Friday
554-53-8700,C,C1357,Naypyitaw,Normal,Male,Home and lifestyle,56.11,2,5.611,112.22,2019-08-31,10:11,Cash,112.22,4.761904762,0.0,6.615,96.0785,19.7633,2019,8,31,Saturday
354-25-5821,B,C1274,Mandalay,Normal,Female,Sports and travel,69.12,8,27.648,552.96,2019-04-28,13:03,Cash,414.72,4.761904762,138.24,6.72,96.0891,21.9588,2019,4,28,Sunday
228-96-1411,C,C1312,Naypyitaw,Normal,Female,Food and beverages,98.7,10,49.35,987.0,2019-02-22,20:39,Cash,789.6,4.761904762,197.4,7.98,96.0785,19.7633,2019,2,22,Friday
617-15-4209,C,C1470,Naypyitaw,Normal,Male,Health and beauty,15.37,2,1.537,30.74,2019-10-07,19:47,Cash,30.74,4.761904762,0.0,7.56,96.0785,19.7633,2019,10,7,Monday
132-32-9879,B,C1221,Mandalay,Normal,Female,Health and beauty,93.96,6,28.188,563.76,2019-01-11,18:00,Cash,375.84,4.761904762,187.92,10.0,96.0891,21.9588,2019,1,11,Friday
370-41-7321,B,C1201,Mandalay,Normal,Male,Health and beauty,56.69,13,36.8485,736.97,2019-02-25,17:24,Credit card,510.21,4.761904762,226.76,10.0,96.0891,21.9588,2019,2,25,Monday
727-46-3608,B,C1235,Mandalay,Normal,Female,Health and beauty,20.01,13,13.0065,260.13,2019-02-07,15:47,Ewallet,180.09,4.761904762,80.04,4.92,96.0891,21.9588,2019,2,7,Thursday
669-54-1719,B,C1202,Mandalay,Normal,Male,Health and beauty,18.93,8,7.572,151.44,2019-10-16,12:45,Credit card,113.58,4.761904762,37.86,9.72,96.0891,21.9588,2019,10,16,Wednesday
574-22-5561,C,C1352,Naypyitaw,Normal,Female,Health and beauty,82.63,12,49.578,991.56,2019-06-03,17:08,Ewallet,826.3,4.761904762,165.26,8.295,96.0785,19.7633,2019,6,3,Monday
326-78-5178,C,C1453,Naypyitaw,Normal,Male,Food and beverages,91.4,8,36.56,731.2,2019-04-04,10:19,Cash,639.8,4.761904762,91.4,9.975,96.0785,19.7633,2019,4,4,Thursday
162-48-8011,A,C1629,Yangon,Normal,Female,Food and beverages,44.59,5,11.1475,222.95,2019-09-28,15:10,Cash,222.95,4.761904762,0.0,8.5,96.1735,16.8409,2019,9,28,Saturday
616-24-2851,B,C1290,Mandalay,Normal,Female,Fashion accessories,17.87,6,5.361,107.22,2019-12-30,14:42,Ewallet,71.48,4.761904762,35.74,7.8,96.0891,21.9588,2019,12,30,Monday
778-71-5554,C,C1401,Naypyitaw,Normal,Male,Fashion accessories,15.43,1,0.7715,15.43,2019-09-15,15:46,Credit card,15.43,4.761904762,0.0,6.405,96.0785,19.7633,2019,9,15,Sunday
242-55-6721,B,C1236,Mandalay,Normal,Male,Home and lifestyle,16.16,3,2.424,48.48,2019-04-30,11:49,Ewallet,32.32,4.761904762,16.16,7.8,96.0891,21.9588,2019,4,30,Tuesday
399-46-5918,C,C1491,Naypyitaw,Normal,Female,Electronic accessories,85.98,10,42.99,859.8,2019-02-19,19:01,Cash,687.84,4.761904762,171.96,8.61,96.0785,19.7633,2019,2,19,Tuesday
106-35-6779,A,C1882,Yangon,Normal,Male,Home and lifestyle,44.34,2,4.434,88.68,2019-01-14,11:26,Ewallet,88.68,4.761904762,0.0,7.455,96.1735,16.8409,2019,1,14,Monday
635-40-6220,A,C1720,Yangon,Normal,Male,Health and beauty,89.6,8,35.84,716.8,2019-06-29,11:28,Ewallet,716.8,4.761904762,0.0,7.455,96.1735,16.8409,2019,6,29,Saturday
817-48-8732,A,C1760,Yangon,Member,Female,Home and lifestyle,72.35,14,50.645,1012.9,2019-01-28,15:55,Ewallet,723.5,4.761904762,289.4,7.455,96.1735,16.8409,2019,1,28,Monday
120-06-4233,C,C1365,Naypyitaw,Normal,Male,Electronic accessories,30.61,7,10.7135,214.27,2019-05-07,20:36,Ewallet,183.66,4.761904762,30.61,7.455,96.0785,19.7633,2019,5,7,Tuesday
285-68-5083,C,C1409,Naypyitaw,Normal,Female,Sports and travel,24.74,4,4.948,98.96,2019-11-19,17:47,Ewallet,74.22,4.761904762,24.74,7.455,96.0785,19.7633,2019,11,19,Tuesday
803-83-5989,C,C1301,Naypyitaw,Normal,Male,Home and lifestyle,55.73,7,15.468250000000001,390.11,2019-09-25,10:55,Ewallet,334.38,4.761904762,55.73,7.455,96.0785,19.7633,2019,9,25,Wednesday
347-34-2234,B,C1201,Mandalay,Normal,Female,Sports and travel,55.07,13,35.7955,715.91,2019-12-09,13:40,Ewallet,495.63,4.761904762,220.28,7.455,96.0891,21.9588,2019,12,9,Monday
199-75-8169,A,C1810,Yangon,Normal,Male,Sports and travel,15.81,10,7.905,158.1,2019-03-22,12:27,Ewallet,158.1,4.761904762,0.0,7.455,96.1735,16.8409,2019,3,22,Friday
853-23-2453,B,C1217,Mandalay,Normal,Male,Health and beauty,75.74,6,22.722,454.44,2019-10-04,14:35,Ewallet,302.96,4.761904762,151.48,7.455,96.0891,21.9588,2019,10,4,Friday
877-22-3308,A,C1846,Yangon,Normal,Male,Health and beauty,15.87,10,7.935,158.7,2019-06-19,16:40,Ewallet,158.7,4.761904762,0.0,7.455,96.1735,16.8409,2019,6,19,Wednesday
838-78-4295,C,C1472,Naypyitaw,Normal,Female,Health and beauty,33.47,2,3.347,66.94,2019-09-19,15:43,Ewallet,66.94,4.761904762,0.0,7.455,96.0785,19.7633,2019,9,19,Thursday
109-28-2512,B,C1277,Mandalay,Normal,Female,Fashion accessories,97.61,8,39.044,780.88,2019-02-09,15:01,Ewallet,585.66,4.761904762,195.22,7.455,96.0891,21.9588,2019,2,9,Saturday
232-11-3025,A,C1747,Yangon,Normal,Male,Sports and travel,78.77,10,39.385,787.7,2019-02-27,10:04,Cash,787.7,4.761904762,0.0,7.455,96.1735,16.8409,2019,2,27,Wednesday
382-03-4532,A,C1760,Yangon,Normal,Female,Health and beauty,18.33,1,0.9165,18.33,2019-03-21,18:50,Cash,18.33,4.761904762,0.0,7.455,96.1735,16.8409,2019,3,21,Thursday
393-65-2792,C,C1329,Naypyitaw,Normal,Male,Food and beverages,89.48,12,53.688,1073.76,2019-06-02,12:46,Credit card,894.8,4.761904762,178.96,10.0,96.0785,19.7633,2019,6,2,Sunday
796-12-2025,C,C1368,Naypyitaw,Normal,Male,Fashion accessories,62.12,12,37.272,745.44,2019-07-22,16:19,Cash,621.2,4.761904762,124.24,6.195,96.0785,19.7633,2019,7,22,Monday
510-95-6347,B,C1262,Mandalay,Normal,Female,Food and beverages,48.52,4,9.704,194.08,2019-12-17,18:17,Ewallet,145.56,4.761904762,48.52,4.8,96.0891,21.9588,2019,12,17,Tuesday
841-35-6630,C,C1302,Naypyitaw,Normal,Female,Electronic accessories,75.91,7,26.5685,531.37,2019-11-08,18:21,Cash,455.46,4.761904762,75.91,9.135,96.0785,19.7633,2019,11,8,Friday
287-21-9091,A,C1894,Yangon,Normal,Male,Home and lifestyle,74.67,9,33.6015,672.03,2019-03-31,10:55,Ewallet,672.03,4.761904762,0.0,9.4,96.1735,16.8409,2019,3,31,Sunday
732-94-0499,C,C1477,Naypyitaw,Normal,Female,Electronic accessories,41.65,12,24.99,499.8,2019-12-12,17:04,Credit card,416.5,4.761904762,83.3,5.67,96.0785,19.7633,2019,12,12,Thursday
263-10-3913,C,C1380,Naypyitaw,Normal,Male,Fashion accessories,49.04,11,26.972,539.44,2019-08-12,14:20,Credit card,441.36,4.761904762,98.08,9.03,96.0785,19.7633,2019,8,12,Monday
381-20-0914,A,C1775,Yangon,Normal,Female,Fashion accessories,20.01,9,9.0045,180.09,2019-12-05,15:48,Credit card,180.09,4.761904762,0.0,5.7,96.1735,16.8409,2019,12,5,Thursday
829-49-1914,C,C1470,Naypyitaw,Normal,Female,Food and beverages,78.31,12,15.468250000000001,939.72,2019-06-28,16:24,Ewallet,783.1,4.761904762,156.62,6.93,96.0785,19.7633,2019,6,28,Friday
756-01-7507,C,C1434,Naypyitaw,Normal,Female,Health and beauty,20.38,6,15.468250000000001,122.28,2019-11-10,18:56,Cash,101.9,4.761904762,20.38,6.3,96.0785,19.7633,2019,11,10,Sunday
870-72-4431,C,C1484,Naypyitaw,Normal,Female,Health and beauty,99.19,7,15.468250000000001,694.33,2019-03-13,14:42,Credit card,595.14,4.761904762,99.19,5.775,96.0785,19.7633,2019,3,13,Wednesday
847-38-7188,B,C1285,Mandalay,Normal,Female,Food and beverages,96.68,4,15.468250000000001,386.72,2019-10-28,19:56,Ewallet,290.04,4.761904762,96.68,7.68,96.0891,21.9588,2019,10,28,Monday
480-63-2856,C,C1471,Naypyitaw,Normal,Male,Food and beverages,19.25,10,15.468250000000001,192.5,2019-05-27,18:37,Ewallet,154.0,4.761904762,38.5,6.93,96.0785,19.7633,2019,5,27,Monday
787-56-0757,C,C1419,Naypyitaw,Normal,Female,Health and beauty,80.36,5,15.468250000000001,401.8,2019-05-10,18:45,Credit card,321.44,4.761904762,80.36,8.715,96.0785,19.7633,2019,5,10,Friday
360-39-5055,C,C1345,Naypyitaw,Normal,Male,Health and beauty,48.91,6,15.468250000000001,293.46,2019-06-28,10:17,Cash,244.55,4.761904762,48.91,6.93,96.0785,19.7633,2019,6,28,Friday
730-50-9884,C,C1440,Naypyitaw,Normal,Female,Health and beauty,83.06,8,15.468250000000001,664.48,2019-05-22,14:31,Ewallet,581.42,4.761904762,83.06,4.2,96.0785,19.7633,2019,5,22,Wednesday
362-58-8315,C,C1313,Naypyitaw,Normal,Male,Health and beauty,76.52,6,15.468250000000001,459.12,2019-03-11,10:23,Cash,382.6,4.761904762,76.52,10.0,96.0785,19.7633,2019,3,11,Monday
633-44-8566,A,C1785,Yangon,Member,Male,Health and beauty,49.38,10,15.468250000000001,493.8,2019-12-03,20:35,Credit card,345.66,4.761904762,148.14,7.3,96.1735,16.8409,2019,12,3,Tuesday
504-35-8843,A,C1815,Yangon,Normal,Male,Health and beauty,42.47,1,15.468250000000001,42.47,2019-08-31,16:57,Cash,42.47,4.761904762,0.0,5.7,96.1735,16.8409,2019,8,31,Saturday
318-68-5053,B,C1299,Mandalay,Normal,Female,Health and beauty,76.99,8,15.468250000000001,615.92,2019-04-24,17:55,Cash,461.94,4.761904762,153.98,7.32,96.0891,21.9588,2019,4,24,Wednesday
565-80-5980,C,C1407,Naypyitaw,Member,Female,Home and lifestyle,47.38,7,15.468250000000001,331.66,2019-02-02,10:25,Cash,189.52,4.761904762,142.14,7.455,96.0785,19.7633,2019,2,2,Saturday
225-32-0908,C,C1362,Naypyitaw,Normal,Female,Sports and travel,44.86,12,15.468250000000001,538.32,2019-12-15,19:54,Ewallet,448.6,4.761904762,89.72,8.61,96.0785,19.7633,2019,12,15,Sunday
873-51-0671,A,C1898,Yangon,Member,Female,Sports and travel,21.98,10,15.468250000000001,219.8,2019-04-19,16:42,Ewallet,153.86,4.761904762,65.94,5.1,96.1735,16.8409,2019,4,19,Friday
152-08-9985,B,C1232,Mandalay,Member,Male,Health and beauty,64.36,18,15.468250000000001,1158.48,2019-10-02,12:09,Credit card,579.24,4.761904762,579.24,10.0,96.0891,21.9588,2019,10,2,Wednesday
512-91-0811,C,C1303,Naypyitaw,Normal,Male,Health and beauty,89.75,1,15.468250000000001,89.75,2019-02-02,20:05,Credit card,89.75,4.761904762,0.0,6.93,96.0785,19.7633,2019,2,2,Saturday
594-34-4444,A,C1787,Yangon,Normal,Male,Electronic accessories,97.16,1,15.468250000000001,97.16,2019-06-04,20:38,Ewallet,97.16,4.761904762,0.0,7.2,96.1735,16.8409,2019,6,4,Tuesday
766-85-7061,B,C1205,Mandalay,Normal,Male,Health and beauty,87.87,14,15.468250000000001,1230.18,2019-05-02,10:25,Ewallet,878.7,4.761904762,351.48,6.12,96.0891,21.9588,2019,5,2,Thursday
871-39-9221,C,C1398,Naypyitaw,Normal,Female,Electronic accessories,12.45,7,15.468250000000001,87.15,2019-04-02,13:11,Cash,74.7,4.761904762,12.45,4.305,96.0785,19.7633,2019,4,2,Tuesday
865-92-6136,A,C1623,Yangon,Normal,Male,Food and beverages,52.75,3,15.468250000000001,158.25,2019-03-11,10:16,Ewallet,158.25,4.761904762,0.0,9.3,96.1735,16.8409,2019,3,11,Monday
733-01-9107,B,C1259,Mandalay,Normal,Male,Home and lifestyle,82.7,8,15.468250000000001,661.6,2019-06-20,18:14,Cash,496.2,4.761904762,165.4,8.88,96.0891,21.9588,2019,6,20,Thursday
163-56-7055,C,C1353,Naypyitaw,Member,Male,Fashion accessories,48.71,1,15.468250000000001,48.71,2019-11-06,19:20,Cash,48.71,4.761904762,0.0,4.305,96.0785,19.7633,2019,11,6,Wednesday
189-98-2939,C,C1310,Naypyitaw,Normal,Male,Fashion accessories,78.55,11,43.2025,864.05,2019-12-13,13:22,Cash,706.95,4.761904762,157.1,7.56,96.0785,19.7633,2019,12,13,Friday
551-21-3069,C,C1412,Naypyitaw,Normal,Female,Electronic accessories,23.07,11,12.6885,253.77,2019-07-19,11:27,Cash,207.63,4.761904762,46.14,5.145,96.0785,19.7633,2019,7,19,Friday
212-62-1842,A,C1698,Yangon,Normal,Male,Food and beverages,58.26,6,17.478,349.56,2019-05-23,16:44,Cash,349.56,4.761904762,0.0,9.9,96.1735,16.8409,2019,5,23,Thursday
716-39-1409,B,C1262,Mandalay,Normal,Male,Health and beauty,30.35,10,15.175,303.5,2019-04-20,18:19,Cash,212.45,4.761904762,91.05,9.6,96.0891,21.9588,2019,4,20,Saturday
704-48-3927,A,C1633,Yangon,Member,Male,Electronic accessories,88.67,14,62.069,1241.38,2019-12-19,14:50,Ewallet,886.7,4.761904762,354.68,7.3,96.1735,16.8409,2019,12,19,Thursday
628-34-3388,C,C1401,Naypyitaw,Normal,Female,Fashion accessories,27.38,7,9.583,191.66,2019-12-10,20:54,Credit card,164.28,4.761904762,27.38,8.295,96.0785,19.7633,2019,12,10,Tuesday
630-74-5166,A,C1822,Yangon,Normal,Female,Sports and travel,62.13,6,18.639,372.78,2019-12-30,20:19,Cash,372.78,4.761904762,0.0,7.4,96.1735,16.8409,2019,12,30,Monday
588-01-7461,C,C1333,Naypyitaw,Normal,Female,Food and beverages,33.98,11,18.689,373.78,2019-03-27,10:43,Cash,305.82,4.761904762,67.96,4.41,96.0785,19.7633,2019,3,27,Wednesday
479-26-8945,B,C1270,Mandalay,Member,Female,Sports and travel,16.49,4,3.298,65.96,2019-09-15,11:32,Ewallet,32.98,4.761904762,32.98,7.455,96.0891,21.9588,2019,9,15,Sunday
210-67-5886,C,C1334,Naypyitaw,Member,Female,Health and beauty,98.21,6,29.463,589.26,2019-10-25,10:41,Credit card,294.63,4.761904762,294.63,7.455,96.0785,19.7633,2019,10,25,Friday
227-78-1148,B,C1220,Mandalay,Normal,Female,Fashion accessories,72.84,10,36.42,728.4,2019-07-16,12:44,Cash,509.88,4.761904762,218.52,7.455,96.0891,21.9588,2019,7,16,Tuesday
645-44-1170,A,C1640,Yangon,Member,Male,Home and lifestyle,58.07,13,37.7455,754.91,2019-10-27,20:07,Ewallet,522.63,4.761904762,232.28,7.455,96.1735,16.8409,2019,10,27,Sunday
237-01-6122,C,C1395,Naypyitaw,Member,Female,Home and lifestyle,80.79,15,60.5925,1211.85,2019-09-01,20:31,Credit card,727.11,4.761904762,484.74,7.455,96.0785,19.7633,2019,9,1,Sunday
225-98-1496,C,C1350,Naypyitaw,Normal,Female,Health and beauty,27.02,4,5.404,108.08,2019-08-11,13:01,Credit card,81.06,4.761904762,27.02,7.455,96.0785,19.7633,2019,8,11,Sunday
291-32-1427,B,C1223,Mandalay,Member,Male,Health and beauty,21.94,10,10.97,219.4,2019-12-03,12:29,Ewallet,109.7,4.761904762,109.7,7.455,96.0891,21.9588,2019,12,3,Tuesday
659-65-8956,B,C1279,Mandalay,Member,Male,Health and beauty,51.36,1,2.568,51.36,2019-02-22,15:26,Ewallet,51.36,4.761904762,0.0,7.455,96.0891,21.9588,2019,2,22,Friday
642-32-2990,A,C1619,Yangon,Normal,Female,Health and beauty,10.96,10,5.48,109.6,2019-07-12,20:48,Ewallet,109.6,4.761904762,0.0,7.455,96.1735,16.8409,2019,7,12,Friday
378-24-2715,B,C1262,Mandalay,Normal,Male,Home and lifestyle,53.44,3,8.016,160.32,2019-04-27,20:38,Ewallet,106.88,4.761904762,53.44,7.455,96.0891,21.9588,2019,4,27,Saturday
638-60-7125,A,C1706,Yangon,Normal,Female,Electronic accessories,99.56,8,39.824,796.48,2019-04-02,17:03,Credit card,796.48,4.761904762,0.0,7.455,96.1735,16.8409,2019,4,2,Tuesday
659-36-1684,C,C1453,Naypyitaw,Normal,Male,Sports and travel,57.12,8,22.848,456.96,2019-12-24,12:02,Credit card,399.84,4.761904762,57.12,7.455,96.0785,19.7633,2019,12,24,Tuesday
336-78-2147,C,C1417,Naypyitaw,Normal,Male,Home and lifestyle,63.91,10,31.955,639.1,2019-09-16,19:52,Credit card,511.28,4.761904762,127.82,7.455,96.0785,19.7633,2019,9,16,Monday
268-27-6179,B,C1264,Mandalay,Normal,Female,Fashion accessories,56.47,11,15.468250000000001,621.17,2019-06-11,14:57,Ewallet,451.76,4.761904762,169.41,7.455,96.0891,21.9588,2019,6,11,Tuesday
668-90-8900,A,C1846,Yangon,Normal,Female,Home and lifestyle,93.69,7,15.468250000000001,655.83,2019-03-25,18:44,Credit card,655.83,4.761904762,0.0,7.455,96.1735,16.8409,2019,3,25,Monday
870-54-3162,A,C1627,Yangon,Normal,Female,Sports and travel,32.25,5,15.468250000000001,161.25,2019-11-29,13:26,Cash,161.25,4.761904762,0.0,9.0,96.1735,16.8409,2019,11,29,Friday
189-08-9157,C,C1454,Naypyitaw,Normal,Female,Fashion accessories,31.73,11,15.468250000000001,349.03,2019-05-04,16:17,Credit card,285.57,4.761904762,63.46,6.195,96.0785,19.7633,2019,5,4,Saturday
663-86-9076,C,C1456,Naypyitaw,Normal,Female,Food and beverages,68.54,10,15.468250000000001,685.4,2019-06-12,15:57,Ewallet,548.32,4.761904762,137.08,8.925,96.0785,19.7633,2019,6,12,Wednesday
549-84-7482,B,C1252,Mandalay,Normal,Female,Sports and travel,90.28,13,15.468250000000001,1173.64,2019-03-31,11:15,Ewallet,812.52,4.761904762,361.12,8.64,96.0891,21.9588,2019,3,31,Sunday
191-10-6171,B,C1247,Mandalay,Normal,Female,Fashion accessories,39.62,10,15.468250000000001,396.2,2019-04-04,13:18,Ewallet,277.34,4.761904762,118.86,9.0,96.0891,21.9588,2019,4,4,Thursday
802-70-5316,A,C1742,Yangon,Normal,Female,Sports and travel,92.13,6,15.468250000000001,552.78,2019-08-13,20:34,Ewallet,552.78,4.761904762,0.0,8.3,96.1735,16.8409,2019,8,13,Tuesday
695-51-0018,B,C1222,Mandalay,Normal,Female,Sports and travel,34.84,6,15.468250000000001,209.04,2019-01-11,18:36,Ewallet,139.36,4.761904762,69.68,8.88,96.0891,21.9588,2019,1,11,Friday
